depth,toc
2404.0000,2.1489
2407.0000,1.6609
2410.0000,3.9273
2413.0000,3.5840
2416.0000,4.0597
2419.0000,1.9976
2422.0000,3.6801
2425.0000,1.7401
2428.0000,1.7421
2431.0000,2.2574
2434.0000,1.9962
2437.0000,3.4246
2440.0000,2.5240
2443.0000,2.1135
2446.0000,2.9903
2449.0000,2.3678
2452.0000,0.9861
2455.0000,3.8824
2458.0000,4.8830
2461.0000,2.9314
2464.0000,3.4928
2467.0000,3.3278
2470.0000,2.8126
2473.0000,2.6151
2476.0000,3.1028
2479.0000,4.0704
2482.0000,2.8744
2485.0000,2.2572
2488.0000,1.3033
2491.0000,2.2189
2494.0000,2.2565
2497.0000,2.4606
2500.0000,2.8789
2503.0000,4.5738
2506.0000,3.5739
2509.0000,0.3818
2512.0000,0.3041
2515.0000,3.3011
2518.0000,4.3469
2521.0000,1.8475
2524.0000,2.3325
2527.0000,2.6505
2530.0000,2.9631
2533.0000,2.1831
2536.0000,0.5392
2539.0000,3.1030
2542.0000,2.3764
2545.0000,1.9907
2548.0000,2.6596
2551.0000,1.8825
2554.0000,1.9294
2557.0000,1.4049
2560.0000,1.0985
2563.0000,2.7531
2566.0000,4.2881
2569.0000,2.6305
2572.0000,2.3618
2575.0000,2.6262
2578.0000,4.4962
2581.0000,1.3798
2584.0000,2.7211
2587.0000,3.5511
2590.0000,2.9093
2593.0000,2.6973
2596.0000,2.1230
2599.0000,1.2695
2602.0000,1.8049
2605.0000,1.0712
2608.0000,3.0934
2611.0000,3.1979
2614.0000,1.1324
2617.0000,1.9982
2620.0000,1.6586
2623.0000,3.1814
2626.0000,2.5377
2629.0000,2.3791
2632.0000,0.7422
2635.0000,2.3033
2638.0000,4.3941
2641.0000,1.3008
2644.0000,3.5296
2647.0000,2.3533
2650.0000,2.5564
2653.0000,1.9664
2656.0000,2.9657
2659.0000,3.4332
2662.0000,2.4602
2665.0000,2.6381
2668.0000,2.8024
2671.0000,1.5694
2674.0000,1.1073
2677.0000,2.2481
2680.0000,2.8504
2683.0000,1.4600
2686.0000,2.4036
2689.0000,1.5757
2692.0000,3.0812
2695.0000,1.6249
2698.0000,2.9181
2701.0000,2.1565
2704.0000,3.2951
2707.0000,2.5038
2710.0000,1.6891
2713.0000,2.8998
2716.0000,3.5368
2719.0000,2.9065
2722.0000,2.6063
2725.0000,0.0280
2728.0000,3.4905
2731.0000,2.9676
2734.0000,3.2615
2737.0000,2.7732
2740.0000,2.0595
2743.0000,1.6340
2746.0000,4.2417
2749.0000,1.4991
2752.0000,2.7511
2755.0000,0.8591
2758.0000,2.0775
2761.0000,1.6283
2764.0000,1.6181
2767.0000,3.9132
2770.0000,1.3119
2773.0000,2.5236
2776.0000,2.7017
2779.0000,2.4243
2782.0000,3.0132
2785.0000,2.6298
2788.0000,2.8049
2791.0000,3.6287
2794.0000,2.1637
2797.0000,3.8042
2800.0000,2.2884
2803.0000,2.9894
2806.0000,3.9693
2809.0000,2.6188
2812.0000,2.4163
2815.0000,1.9354
2818.0000,3.4661
2821.0000,1.9607
2824.0000,1.4009
2827.0000,3.3347
2830.0000,0.9854
2833.0000,1.8573
2836.0000,3.5090
2839.0000,3.4370
2842.0000,2.7172
2845.0000,1.5072
2848.0000,1.5027
2851.0000,2.6697
2854.0000,3.4925
2857.0000,-0.1328
2860.0000,2.6884
2863.0000,1.9782
2866.0000,2.3385
2869.0000,3.2769
2872.0000,3.7557
2875.0000,1.2391
2878.0000,1.7885
2881.0000,1.8043
2884.0000,2.9882
2887.0000,3.1220
2890.0000,2.2425
2893.0000,4.0636
2896.0000,1.4758
2899.0000,2.4569
2902.0000,2.2191
2905.0000,3.3979
2908.0000,2.1219
2911.0000,1.3317
2914.0000,2.6272
2917.0000,3.2286
2920.0000,3.3720
2923.0000,1.1992
2926.0000,2.7335
2929.0000,4.6906
2932.0000,1.5779
2935.0000,0.5133
2938.0000,3.1596
2941.0000,4.3343
2944.0000,2.7614
2947.0000,1.0139
2950.0000,3.9265
2953.0000,1.4266
2956.0000,2.8507
2959.0000,1.4023
2962.0000,1.6446
2965.0000,2.0384
2968.0000,1.1010
2971.0000,1.5896
2974.0000,2.4802
2977.0000,3.1371
2980.0000,1.3995
2983.0000,4.9947
2986.0000,4.6018
2989.0000,1.6437
2992.0000,2.9346
2995.0000,2.4984
2998.0000,1.3818
